Treatment ,Variety ,Direction ,Block,Plot,Rep,Year_Stability,Year_CN,Year_Bulk,Year_covercrop,Depth,Bulk_Density ,Stability,TotalOM,TotalN,CN,Cmin,Cmin%,NO3,NH4,Nmin,Nmin%,Humidity ,F_Mechanical actions,DG_soilTx,Stone:soil,Cover_DM_t_ha,Cover_potRestit_N,Cover_mesRestit_N,Cover_mesRestit_C
A_Viti,Artaban,,1,1,1,2019,2021,2020,2021,10,0.962488993,0.47,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.152627505,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,1,2,2019,2021,2020,2021,10,0.962488993,0.46,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.152627505,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,1,3,2019,2021,2020,2021,10,0.962488993,0.54,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.152627505,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,2,1,2019,2021,2020,2021,10,1.001642835,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.19470716,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,2,2,2019,2021,2020,2021,10,1.001642835,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.19470716,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,2,3,2019,2021,2020,2021,10,1.001642835,0.38,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.19470716,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,3,1,2019,2021,2020,2021,10,0.839532681,0.45,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.239975687,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,3,2,2019,2021,2020,2021,10,0.839532681,0.37,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.239975687,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,3,3,2019,2021,2020,2021,10,0.839532681,0.44,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.239975687,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,4,1,2019,2021,2020,2021,10,0.742727616,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.483568585,702828,38120712,247957836,3117927708
A_Viti,Artaban,,1,4,2,2019,2021,2020,2021,10,0.742727616,0.45,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.483568585,702828,38120712,247957836,3117927708
A_Viti,Artaban,,1,4,3,2019,2021,2020,2021,10,0.742727616,0.48,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.483568585,702828,38120712,247957836,3117927708
A_Viti,Artaban,,1,5,1,2019,2021,2020,2021,10,0.579980812,0.38,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.255837287,778912,117468101,274185128,3427627840
A_Viti,Artaban,,1,5,2,2019,2021,2020,2021,10,0.579980812,0.42,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.255837287,778912,117468101,274185128,3427627840
A_Viti,Artaban,,1,5,3,2019,2021,2020,2021,10,0.579980812,0.37,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.255837287,778912,117468101,274185128,3427627840
A_Viti,Artaban,,2,1,1,2019,2021,2020,2021,10,1.371363765,0.45,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.113411233,3019480,546109165,1021875176,12818236648
A_Viti,Artaban,,2,1,2,2019,2021,2020,2021,10,1.371363765,0.46,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.113411233,3019480,546109165,1021875176,12818236648
A_Viti,Artaban,,2,1,3,2019,2021,2020,2021,10,1.371363765,0.56,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.113411233,3019480,546109165,1021875176,12818236648
A_Viti,Artaban,,2,2,1,2019,2021,2020,2021,10,1.188743835,0.53,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.139252028,2127600,393513857,753658752,9269853264
A_Viti,Artaban,,2,2,2,2019,2021,2020,2021,10,1.188743835,0.49,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.139252028,2127600,393513857,753658752,9269853264
A_Viti,Artaban,,2,2,3,2019,2021,2020,2021,10,1.188743835,0.61,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.139252028,2127600,393513857,753658752,9269853264
A_Viti,Artaban,,2,3,1,2019,2021,2020,2021,10,1.21224837,0.41,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.113411233,217512,161341792,74480640,935198632
A_Viti,Artaban,,2,3,2,2019,2021,2020,2021,10,1.21224837,,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.113411233,217512,161341792,74480640,935198632
A_Viti,Artaban,,2,3,3,2019,2021,2020,2021,10,1.21224837,,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.113411233,217512,161341792,74480640,935198632
A_Viti,Artaban,,2,4,1,2019,2021,2020,2021,10,0.830587541,0.42,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.159433715,120800,132453601,40448264,510718056
A_Viti,Artaban,,2,4,2,2019,2021,2020,2021,10,0.830587541,0.46,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.159433715,120800,132453601,40448264,510718056
A_Viti,Artaban,,2,4,3,2019,2021,2020,2021,10,0.830587541,0.52,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.159433715,120800,132453601,40448264,510718056
A_Viti,Artaban,,2,5,1,2019,2021,2020,2021,10,1.019251679,0.33,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.255837287,95920,892888951,34119984,417834096
A_Viti,Artaban,,2,5,2,2019,2021,2020,2021,10,1.019251679,0.38,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.255837287,95920,892888951,34119984,417834096
A_Viti,Artaban,,2,5,3,2019,2021,2020,2021,10,1.019251679,0.37,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.255837287,95920,892888951,34119984,417834096
A_Viti,Artaban,,3,1,1,2019,2021,2020,2021,10,1.120260374,0.51,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,1,2,2019,2021,2020,2021,10,1.120260374,0.5,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,1,3,2019,2021,2020,2021,10,1.120260374,0.49,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,2,1,2019,2021,2020,2021,10,1.272019465,0.7,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.061638489,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,2,2,2019,2021,2020,2021,10,1.272019465,0.63,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.061638489,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,2,3,2019,2021,2020,2021,10,1.272019465,0.64,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.061638489,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,3,1,2019,2021,2020,2021,10,1.134235047,0.46,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.180343329,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,3,2,2019,2021,2020,2021,10,1.134235047,0.42,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.180343329,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,3,3,2019,2021,2020,2021,10,1.134235047,0.54,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.180343329,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,4,1,2019,2021,2020,2021,10,1.301247574,0.52,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.088716692,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,4,2,2019,2021,2020,2021,10,1.301247574,0.47,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.088716692,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,4,3,2019,2021,2020,2021,10,1.301247574,0.47,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.088716692,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,5,1,2019,2021,2020,2021,10,1.191947831,0.53,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.113411233,51032,3421616,18038400,226075912
A_Viti,Artaban,,3,5,2,2019,2021,2020,2021,10,1.191947831,0.56,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.113411233,51032,3421616,18038400,226075912
A_Viti,Artaban,,3,5,3,2019,2021,2020,2021,10,1.191947831,0.53,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.113411233,51032,3421616,18038400,226075912
A_Viti,Artaban,,1,1,1,2019,2021,2020,2021,30,0.977907353,0.47,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.272109945,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,1,2,2019,2021,2020,2021,30,0.977907353,0.46,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.272109945,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,1,3,2019,2021,2020,2021,30,0.977907353,0.54,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.272109945,69240,426620827,24400920,303920352
A_Viti,Artaban,,1,2,1,2019,2021,2020,2021,30,0.745251039,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.255837287,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,2,2,2019,2021,2020,2021,30,0.745251039,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.255837287,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,2,3,2019,2021,2020,2021,30,0.745251039,0.38,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.255837287,1255880,190604778,442926232,5543387864
A_Viti,Artaban,,1,3,1,2019,2021,2020,2021,30,1.173267632,0.45,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.20942489,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,3,2,2019,2021,2020,2021,30,1.173267632,0.37,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.20942489,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,3,3,2019,2021,2020,2021,30,1.173267632,0.44,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.20942489,76320,291726248,24878880,334342072
A_Viti,Artaban,,1,4,1,2019,2021,2020,2021,30,1.091586299,0.39,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.305954049,702828,38120712,247957836,3117927708
A_Viti,Artaban,,1,4,2,2019,2021,2020,2021,30,1.091586299,0.45,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.305954049,702828,38120712,247957836,3117927708
A_Viti,Artaban,,1,4,3,2019,2021,2020,2021,30,1.091586299,0.48,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.305954049,702828,38120712,247957836,3117927708
A_Viti,Artaban,,1,5,1,2019,2021,2020,2021,30,0.986834986,0.38,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.180343329,778912,117468101,274185128,3427627840
A_Viti,Artaban,,1,5,2,2019,2021,2020,2021,30,0.986834986,0.42,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.180343329,778912,117468101,274185128,3427627840
A_Viti,Artaban,,1,5,3,2019,2021,2020,2021,30,0.986834986,0.37,2.6,1.64,9.3,414,2.7,9.7,23.1,13.4,0.8,10.7,45,10.0132249,0.180343329,778912,117468101,274185128,3427627840
A_Viti,Artaban,,2,1,1,2019,2021,2020,2021,30,1.296587324,0.45,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.126183418,3019480,546109165,1021875176,12818236648
A_Viti,Artaban,,2,1,2,2019,2021,2020,2021,30,1.296587324,0.46,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.126183418,3019480,546109165,1021875176,12818236648
A_Viti,Artaban,,2,1,3,2019,2021,2020,2021,30,1.296587324,0.56,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.126183418,3019480,546109165,1021875176,12818236648
A_Viti,Artaban,,2,2,1,2019,2021,2020,2021,30,1.108767973,0.53,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.107133166,2127600,393513857,753658752,9269853264
A_Viti,Artaban,,2,2,2,2019,2021,2020,2021,30,1.108767973,0.49,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.139252028,2127600,393513857,753658752,9269853264
A_Viti,Artaban,,2,2,3,2019,2021,2020,2021,30,1.108767973,0.61,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,,2127600,393513857,753658752,9269853264
A_Viti,Artaban,,2,3,1,2019,2021,2020,2021,30,1.250130548,0.41,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,,217512,161341792,74480640,935198632
A_Viti,Artaban,,2,3,2,2019,2021,2020,2021,30,1.250130548,,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,,217512,161341792,74480640,935198632
A_Viti,Artaban,,2,3,3,2019,2021,2020,2021,30,1.250130548,,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.139252028,217512,161341792,74480640,935198632
A_Viti,Artaban,,2,4,1,2019,2021,2020,2021,30,1.077246769,0.42,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.180343329,120800,132453601,40448264,510718056
A_Viti,Artaban,,2,4,2,2019,2021,2020,2021,30,1.077246769,0.46,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.180343329,120800,132453601,40448264,510718056
A_Viti,Artaban,,2,4,3,2019,2021,2020,2021,30,1.077246769,0.52,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.180343329,120800,132453601,40448264,510718056
A_Viti,Artaban,,2,5,1,2019,2021,2020,2021,30,1.10422878,0.33,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.19470716,95920,892888951,34119984,417834096
A_Viti,Artaban,,2,5,2,2019,2021,2020,2021,30,1.10422878,0.38,2,1.1,10.7,639,5.4,3.8,3.8,10.3,0.9,12.6,45,9.998263614,0.19470716,95920,892888951,34119984,417834096
A_Viti,Artaban,,2,5,3,2019,2021,2020,2021,30,1.10422878,0.37,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998263614,0.19470716,95920,892888951,34119984,417834096
A_Viti,Artaban,,3,1,1,2019,2021,2020,2021,30,1.171740959,0.51,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.100925501,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,1,2,2019,2021,2020,2021,30,1.171740959,0.5,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.100925501,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,1,3,2019,2021,2020,2021,30,1.171740959,0.49,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.100925501,113840,4690186695,38748424,486740536
A_Viti,Artaban,,3,2,1,2019,2021,2020,2021,30,0.87973677,0.7,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.076775695,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,2,2,2019,2021,2020,2021,30,0.87973677,0.63,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.076775695,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,2,3,2019,2021,2020,2021,30,0.87973677,0.64,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.076775695,286608,39915456,95849544,1213604448
A_Viti,Artaban,,3,3,1,2019,2021,2020,2021,30,1.199341925,0.46,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.076775695,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,3,2,2019,2021,2020,2021,30,1.199341925,0.42,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.076775695,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,3,3,2019,2021,2020,2021,30,1.199341925,0.54,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.076775695,23632,2041856,8394200,104590432
A_Viti,Artaban,,3,4,1,2019,2021,2020,2021,30,1.176566314,0.52,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,4,2,2019,2021,2020,2021,30,1.176566314,0.47,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,4,3,2019,2021,2020,2021,30,1.176566314,0.47,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.065093793,1099448,134902096,371342104,4696753208
A_Viti,Artaban,,3,5,1,2019,2021,2020,2021,30,1.202192097,0.53,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.132680028,51032,3421616,18038400,226075912
A_Viti,Artaban,,3,5,2,2019,2021,2020,2021,30,1.202192097,0.56,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.132680028,51032,3421616,18038400,226075912
A_Viti,Artaban,,3,5,3,2019,2021,2020,2021,30,1.202192097,0.53,1.9,0.99,11,242,2.2,2.1,2.1,12.1,1.2,12.4,45,9.998146942,0.132680028,51032,3421616,18038400,226075912
D_Viti,Artaban,VN,1,1,1,2019,2021,2020,2021,10,0.880241783,0.38,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.483568585,1534440,302904741,548008272,6740459544
D_Viti,Artaban,VN,1,1,2,2019,2021,2020,2021,10,0.880241783,0.44,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.255837287,1534440,302904741,548008272,6740459544
D_Viti,Artaban,VN,1,1,3,2019,2021,2020,2021,10,0.880241783,0.45,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.113411233,1534440,302904741,548008272,6740459544
D_Viti,Artaban,VN,1,2,1,2019,2021,2020,2021,10,0.927818124,0.35,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.053662643,424890,115812705,137795196,1751132418
D_Viti,Artaban,VN,1,2,2,2019,2021,2020,2021,10,0.927818124,0.38,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.272109945,424890,115812705,137795196,1751132418
D_Viti,Artaban,VN,1,2,3,2019,2021,2020,2021,10,0.927818124,0.39,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.239975687,424890,115812705,137795196,1751132418
D_Viti,Artaban,VN,1,3,1,2019,2021,2020,2021,10,1.090777814,0.33,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.288809849,45816,14300080,16181248,200470320
D_Viti,Artaban,VN,1,3,2,2019,2021,2020,2021,10,1.090777814,0.42,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.288809849,45816,14300080,16181248,200470320
D_Viti,Artaban,VN,1,3,3,2019,2021,2020,2021,10,1.090777814,0.5,2.2,1.22,10.7,381,2.9,5.5,5.5,25.1,2.1,11.3,43,10.02189762,0.288809849,45816,14300080,16181248,200470320
D_Viti,Artaban,VS,1,4,1,2019,2021,2020,2021,10,1.236046149,0.34,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.224509762,354452,27639640,123357052,1553339396
D_Viti,Artaban,VS,1,4,2,2019,2021,2020,2021,10,1.236046149,0.36,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.224509762,354452,27639640,123357052,1553339396
D_Viti,Artaban,VS,1,4,3,2019,2021,2020,2021,10,1.236046149,,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.224509762,354452,27639640,123357052,1553339396
D_Viti,Artaban,VS,1,5,1,2019,2021,2020,2021,10,1.224334174,0.35,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.100925501,844896,77200418,299851440,3758034672
D_Viti,Artaban,VS,1,5,2,2019,2021,2020,2021,10,1.224334174,0.32,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.100925501,844896,77200418,299851440,3758034672
D_Viti,Artaban,VS,1,5,3,2019,2021,2020,2021,10,1.224334174,,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.100925501,844896,77200418,299851440,3758034672
D_Viti,Artaban,VS,1,6,1,2019,2021,2020,2021,10,0.977216712,0.42,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.180343329,151468,1171428831,49298820,629699792
D_Viti,Artaban,VS,1,6,2,2019,2021,2020,2021,10,0.977216712,,2.1,1.19,10.2,354,2.9,6.1,6.1,18.7,1.6,11.8,43,10.02189762,0.180343329,151468,1171428831,49298820,629699792
